Date,STN_144_PM10,STN_144_SO2,STN_144_NO2,STN_146_PM10,STN_146_SO2,STN_146_NO2,STN_345_PM10,STN_345_SO2,STN_345_NO2
2012-02-27,,,,,,,,,
2012-02-28,,,,,,,,,
2012-02-29,,,,,,,,,
2012-03-01,,,,425.0,15.0,115.0,,,
2012-03-02,183.0,7.0,91.0,,,,304.0,25.0,93.0
2012-03-03,,,,155.0,18.0,96.0,275.0,34.0,114.0
2012-03-04,184.0,4.0,94.0,505.0,2.0,121.0,307.0,6.0,91.0
2012-03-05,,,,,,,223.0,2.0,92.0
2012-03-06,224.0,2.0,87.0,,,,253.0,4.0,83.0
2012-03-07,,,,120.0,3.0,43.0,,,
2012-03-08,63.0,2.0,59.0,154.0,3.0,67.0,,,
2012-03-09,,,,,,,,,
2012-03-10,112.0,2.0,100.0,250.0,2.0,119.0,,,
2012-03-11,,,,,,,603.0,7.0,102.0
2012-03-12,,,,,,,,,
2012-03-13,,,,,,,,,
2012-03-14,135.0,6.0,93.0,166.0,5.0,72.0,,,
2012-03-15,155.0,8.0,76.0,184.0,11.0,84.0,,,
2012-03-16,154.0,7.0,102.0,272.0,12.0,102.0,,,
2012-03-17,,,,,,,,,
2012-03-18,,,,,,,,,
2012-03-19,,,,,,,,,
2012-03-20,414.0,4.0,65.0,,,,843.0,14.0,73.0
2012-03-21,267.0,3.0,54.0,,,,527.0,28.0,66.0
2012-03-22,205.0,7.0,59.0,,,,379.0,26.0,56.0
2012-03-23,,,,,,,,,
2012-03-24,193.0,4.0,76.0,,,,296.0,11.0,102.0
2012-03-25,143.0,2.0,90.0,,,,208.0,4.0,58.0
2012-03-26,,,,,,,,,
2012-03-27,,,,314.0,21.0,94.0,,,
2012-03-28,,,,317.0,14.0,59.0,,,
2012-03-29,,,,,,,,,
2012-03-30,,,,,,,,,
2012-03-31,,,,,,,,,
2012-04-01,,,,415.0,21.0,112.0,,,
2012-04-02,,,,,,,,,
2012-04-03,,,,,,,,,
2012-04-04,115.0,2.0,107.0,,,,240.0,2.0,76.0
2012-04-05,,,,,,,,,
2012-04-06,163.0,2.0,76.0,,,,232.0,4.0,108.0
2012-04-07,133.0,4.0,45.0,154.0,2.0,41.0,,,
2012-04-08,54.0,4.0,54.0,86.0,3.0,62.0,,,
2012-04-09,,,,106.0,4.0,52.0,62.0,2.0,47.0
2012-04-10,119.0,2.0,105.0,284.0,2.0,109.0,,,
2012-04-11,,,,,,,,,
2012-04-12,214.0,3.0,114.0,273.0,15.0,119.0,,,
2012-04-13,,,,,,,,,
2012-04-14,,,,,,,,,
2012-04-15,,,,,,,,,
2012-04-16,,,,,,,,,
2012-04-17,,,,219.0,2.0,98.0,169.0,7.0,86.0
2012-04-18,,,,201.0,4.0,87.0,188.0,8.0,68.0
2012-04-19,,,,227.0,2.0,75.0,194.0,9.0,54.0
2012-04-20,,,,,,,,,
2012-04-21,,,,,,,,,
2012-04-22,,,,,,,,,
2012-04-23,,,,,,,,,
2012-04-24,,,,232.0,7.0,96.0,,,
2012-04-25,,,,241.0,10.0,95.0,,,
2012-04-26,124.0,3.0,66.0,220.0,4.0,75.0,,,
2012-04-27,132.0,5.0,48.0,,,,,,
2012-04-28,213.0,4.0,53.0,,,,,,
2012-04-29,,,,,,,,,
2012-04-30,,,,,,,,,
2012-05-01,,,,,,,,,
2012-05-02,,,,,,,,,
2012-05-03,,,,,,,,,
2012-05-04,109.0,3.0,96.0,,,,224.0,4.0,99.0
2012-05-05,,,,,,,,,
2012-05-06,,,,201.0,13.0,77.0,167.0,5.0,100.0
2012-05-07,136.0,2.0,46.0,171.0,2.0,63.0,,,
2012-05-08,,,,,,,,,
2012-05-09,,,,90.0,2.0,36.0,58.0,2.0,39.0
2012-05-10,122.0,2.0,106.0,241.0,3.0,112.0,,,
2012-05-11,,,,,,,,,
2012-05-12,183.0,4.0,117.0,248.0,12.0,101.0,,,
2012-05-13,,,,,,,,,
2012-05-14,,,,,,,,,
2012-05-15,200.0,2.0,93.0,,,,,,
2012-05-16,653.0,2.0,88.0,,,,,,
2012-05-17,735.0,2.0,68.0,,,,,,
2012-05-18,,,,,,,299.0,2.0,53.0
2012-05-19,,,,,,,652.0,7.0,50.0
2012-05-20,,,,,,,389.0,9.0,84.0
2012-05-21,,,,,,,,,
2012-05-22,,,,,,,,,
2012-05-23,,,,437.0,4.0,95.0,,,
2012-05-24,,,,290.0,4.0,81.0,,,
2012-05-25,,,,438.0,2.0,59.0,,,
2012-05-26,,,,,,,,,
2012-05-27,,,,,,,,,
2012-05-28,,,,,,,,,
2012-05-29,230.0,2.0,66.0,,,,362.0,3.0,105.0
2012-05-30,235.0,2.0,53.0,,,,448.0,4.0,70.0
2012-05-31,,,,,,,,,
2012-06-01,,,,,,,,,
2012-06-02,,,,,,,,,
2012-06-03,,,,,,,,,
2012-06-04,,,,,,,,,
2012-06-05,,,,,,,,,
2012-06-06,,,,,,,,,
2012-06-07,55.0,2.0,43.0,,,,,,
2012-06-08,,,,,,,,,
2012-06-09,,,,85.0,2.0,27.0,70.0,2.0,36.0
2012-06-10,,,,,,,,,
2012-06-11,523.0,9.0,110.0,589.0,4.0,134.0,,,
2012-06-12,154.0,2.0,114.0,212.0,12.0,106.0,,,
2012-06-13,,,,,,,,,
2012-06-14,,,,,,,,,
2012-06-15,,,,,,,,,
2012-06-16,,,,,,,,,
2012-06-17,,,,,,,,,
2012-06-18,,,,,,,,,
